
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
0,Auto Enable,-0.250,-0.246,-1.820,0.000,FALSE,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.450,9.344,9.300,9.031,
50,Auto Enable,-0.250,-0.245,-1.820,0.130,TRUE,0.077,0.141,0.000,0.000,0.000,0.000,0.000,0.000,1.500,2.125,11.650,12.188,10.700,10.406,
100,Auto Enable,-0.250,-0.245,-1.630,-0.329,TRUE,0.295,0.461,0.000,0.000,0.000,0.000,0.000,0.000,1.625,2.250,11.700,9.969,10.950,10.594,
150,Auto Enable,-0.250,-0.245,-1.500,1.594,TRUE,0.538,0.743,0.000,0.000,0.000,0.000,0.000,0.000,1.625,2.250,11.650,8.750,11.000,10.656,
200,Auto Enable,-0.250,-0.242,-1.500,-0.039,TRUE,0.961,1.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,11.000,10.656,
250,Auto Enable,-0.250,-0.241,-1.300,0.241,TRUE,1.448,1.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,10.950,10.594,
300,Auto Enable,-0.250,-0.241,-1.250,2.007,TRUE,1.807,2.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.950,10.594,
350,Auto Enable,-0.250,-0.240,-1.110,-1.345,TRUE,2.358,2.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,11.000,10.656,
400,Auto Enable,-0.250,-0.243,-0.840,1.325,TRUE,2.769,3.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.781,11.000,10.656,
450,Auto Enable,-0.250,-0.241,-0.770,0.558,TRUE,3.422,4.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,11.000,10.656,
500,Auto Enable,-0.250,-0.241,-0.680,-1.436,TRUE,3.858,4.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,10.950,10.594,
550,Auto Enable,-0.250,-0.242,-0.460,1.431,TRUE,4.537,5.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.875,10.950,10.594,
600,Auto Enable,-0.250,-0.250,-0.390,1.057,TRUE,5.012,6.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.875,10.950,10.594,
650,Auto Enable,-0.250,-0.250,-0.290,-1.797,TRUE,5.742,6.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,10.950,10.594,
700,Auto Enable,-0.250,-0.250,-0.070,1.982,TRUE,6.255,7.473,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.844,10.950,10.594,
750,Auto Enable,-0.250,-0.250,0.000,-1.665,TRUE,6.998,8.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.844,11.000,10.656,
800,Auto Enable,-0.250,-0.250,0.140,-0.120,TRUE,7.511,9.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.875,11.000,10.656,
850,Auto Enable,-0.250,-0.250,0.280,1.795,TRUE,8.306,9.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.781,10.950,10.594,
900,Auto Enable,-0.250,-0.250,0.410,-1.981,TRUE,9.075,10.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,10.900,10.562,
950,Auto Enable,-0.249,-0.250,0.520,-0.539,TRUE,9.613,11.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.781,10.950,10.594,
1000,Auto Enable,-0.249,-0.250,0.690,1.266,TRUE,10.395,12.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,10.950,10.594,
1050,Auto Enable,-0.249,-0.250,0.750,-0.406,TRUE,10.921,12.677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.950,10.594,
1100,Auto Enable,-0.248,-0.250,0.920,0.479,TRUE,11.702,13.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.750,10.950,10.594,
1150,Auto Enable,-0.248,-0.250,0.980,2.003,TRUE,12.241,14.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.781,10.950,10.594,
1200,Auto Enable,-0.247,-0.250,1.100,-2.010,TRUE,13.035,15.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.750,10.950,10.594,
1250,Auto Enable,-0.246,-0.250,1.270,0.827,TRUE,13.830,15.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,10.950,10.594,
1300,Auto Enable,-0.244,-0.250,1.310,-2.020,TRUE,14.381,16.496,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.900,10.562,
1350,Auto Enable,-0.243,-0.250,1.340,-0.804,TRUE,15.202,17.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.950,10.594,
1400,Auto Enable,-0.239,-0.250,1.470,0.477,TRUE,15.714,17.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.781,10.900,10.562,
1450,Auto Enable,-0.239,-0.250,1.480,1.977,TRUE,16.509,18.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.750,10.950,10.594,
1500,Auto Enable,-0.237,-0.250,1.530,-2.018,TRUE,17.047,19.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.750,10.950,10.594,
1550,Auto Enable,-0.234,-0.250,1.630,1.302,TRUE,17.829,20.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.750,10.950,10.594,
1600,Auto Enable,-0.231,-0.250,1.660,-1.193,TRUE,18.355,20.764,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.750,10.900,10.562,
1650,Auto Enable,-0.229,-0.250,1.630,-0.306,TRUE,19.137,21.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,10.900,10.562,
1700,Auto Enable,-0.226,-0.250,1.650,1.785,TRUE,19.918,22.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.844,10.950,10.594,
1750,Auto Enable,-0.224,-0.250,1.610,-2.020,TRUE,20.431,22.828,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.781,10.950,10.594,
1800,Auto Enable,-0.221,-0.250,1.600,0.022,TRUE,21.200,23.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.781,10.950,10.594,
1850,Auto Enable,-0.218,-0.250,1.620,1.899,TRUE,21.687,24.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.950,10.594,
1900,Auto Enable,-0.213,-0.250,1.630,-2.020,TRUE,22.443,24.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,8.781,10.950,10.594,
1950,Auto Enable,-0.211,-0.250,1.660,0.913,TRUE,22.918,25.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.950,10.562,
2000,Auto Enable,-0.207,-0.250,1.610,2.010,TRUE,23.648,26.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.900,10.562,
2050,Auto Enable,-0.204,-0.250,1.570,-0.677,TRUE,24.097,26.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.900,10.562,
2100,Auto Enable,-0.198,-0.250,1.620,0.827,TRUE,24.763,27.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.688,10.950,10.594,
2150,Auto Enable,-0.198,-0.250,1.540,2.019,TRUE,25.443,27.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.688,10.950,10.594,
2200,Auto Enable,-0.196,-0.250,1.390,-0.303,TRUE,25.853,28.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.950,10.594,
2250,Auto Enable,-0.191,-0.250,1.420,0.962,TRUE,26.481,28.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.688,10.900,10.594,
2300,Auto Enable,-0.190,-0.250,1.320,-2.025,TRUE,26.904,29.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.688,10.950,10.594,
2350,Auto Enable,-0.189,-0.250,1.190,0.009,TRUE,27.519,29.634,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.750,10.900,10.562,
2400,Auto Enable,-0.186,-0.250,1.160,2.037,TRUE,27.904,29.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.750,10.900,10.562,
2450,Auto Enable,-0.187,-0.250,1.010,-2.056,TRUE,28.493,30.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.781,10.900,10.562,
2500,Auto Enable,-0.184,-0.250,0.920,-0.092,TRUE,28.878,30.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.125,11.600,8.781,10.900,10.562,
2550,Auto Enable,-0.184,-0.250,0.830,2.015,TRUE,29.442,31.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,11.600,8.750,10.950,10.562,
