
Match Number: 0 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,	pincherState,	armState,
int,	string,	boolean,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	string,	string,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,	PCM Solenoid Volt,	Pincher State,	Arm State,
0,Tele Enable,FALSE,0.000,0.000,-2.970,0.000,FALSE,-9.408,-7.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,12.906,11.200,10.812,Open,Down,
50,Tele Enable,FALSE,0.000,0.000,-2.990,0.476,TRUE,-9.408,-7.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,12.312,11.300,10.969,Open,Down,
100,Tele Enable,FALSE,0.000,0.000,-2.990,-0.314,TRUE,-9.395,-7.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,12.562,11.150,10.750,Open,Down,
150,Tele Enable,FALSE,0.000,0.000,-3.010,-1.231,TRUE,-9.395,-7.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,12.562,11.250,10.875,Open,Down,
200,Tele Enable,FALSE,0.000,0.000,-2.980,-0.480,TRUE,-9.395,-7.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,12.500,11.200,10.875,Open,Down,
250,Tele Enable,FALSE,0.000,0.000,-2.980,-1.580,TRUE,-9.395,-7.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,12.719,11.150,10.750,Open,Down,
300,Tele Enable,FALSE,0.000,0.000,-3.000,-0.574,TRUE,-9.421,-8.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,12.469,11.250,10.906,Open,Down,
350,Tele Enable,FALSE,0.000,0.000,-2.980,1.542,TRUE,-9.472,-8.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,12.625,11.100,10.719,Open,Down,
