Mon.Feb.20.2017.11.45.AM
Match Number: 314 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,	pincherState,	armState,
int,	string,	boolean,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	string,	string,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,	PCM Solenoid Volt,	Pincher State,	Arm State,
0,Tele Enable,FALSE,-0.002,-0.000,158.020,0.000,FALSE,-0.013,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,8.500,11.350,11.031,Open,Down,
50,Tele Enable,FALSE,-0.002,-0.000,158.010,-0.892,TRUE,-0.013,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.850,8.094,11.250,10.875,Open,Down,
100,Tele Enable,FALSE,-0.002,-0.000,158.030,-0.205,TRUE,-0.013,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.800,8.062,11.150,10.750,Open,Down,
150,Tele Enable,FALSE,-0.002,-0.000,158.010,0.276,TRUE,-0.013,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.850,8.250,11.200,10.812,Open,Down,
200,Tele Enable,FALSE,-0.002,-0.000,157.990,-1.271,TRUE,-0.013,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.850,8.156,11.150,10.812,Open,Down,
250,Tele Enable,FALSE,-0.002,-0.000,158.010,0.024,TRUE,-0.013,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.800,8.188,11.150,10.812,Open,Down,
300,Tele Enable,FALSE,-0.002,-0.000,158.020,0.364,TRUE,-0.013,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.800,8.188,11.150,10.750,Open,Down,
350,Tele Enable,FALSE,-0.002,-0.000,157.980,-0.272,TRUE,-0.013,-0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.800,8.188,11.150,10.812,Open,Down,
