Sat.Feb.11.2017.6.36.PM
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,

0,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
50,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
100,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
150,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
200,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,0.026,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
250,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,0.026,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
300,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,0.013,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
350,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.400,
400,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.115,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
450,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.154,-0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
500,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.141,-0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
550,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.077,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
600,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.026,-0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
650,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,
700,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.051,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
750,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.051,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
800,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
850,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
900,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.051,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
950,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
1000,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1050,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.051,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1100,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
1150,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1200,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.051,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
1250,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1300,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
1350,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
1400,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1450,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
1500,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1550,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1600,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,
1650,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1700,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1750,Tele Enable,-0.002,-0.002,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
1800,Tele Enable,0.022,0.003,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
1850,Tele Enable,0.143,0.063,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.250,
1900,Tele Enable,0.223,0.174,0.000,0.000,FALSE,-0.038,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
1950,Tele Enable,0.254,0.437,0.000,0.000,FALSE,-0.077,-0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,
2000,Tele Enable,0.254,0.525,0.000,0.000,FALSE,-0.615,-0.551,2.125,0.000,0.000,2.500,2.500,0.000,6.875,8.125,11.550,
2050,Tele Enable,0.295,0.608,0.000,0.000,FALSE,-1.487,-0.961,2.000,0.000,0.000,2.750,3.125,0.000,16.375,18.375,11.150,
2100,Tele Enable,0.340,0.608,0.000,0.000,FALSE,-3.474,-1.897,2.000,0.000,0.000,3.000,3.125,0.000,19.000,18.375,11.100,
2150,Tele Enable,0.340,0.645,0.000,0.000,FALSE,-5.178,-2.781,2.250,0.000,0.000,3.000,3.125,0.000,19.000,21.125,11.100,
2200,Tele Enable,0.340,0.645,0.000,0.000,FALSE,-8.049,-4.409,2.875,0.000,0.000,3.625,2.750,0.000,16.875,19.750,11.250,
2250,Tele Enable,0.340,0.645,0.000,0.000,FALSE,-10.203,-5.678,2.125,0.000,0.000,2.750,2.375,0.000,15.125,18.000,11.350,
2300,Tele Enable,0.270,0.645,0.000,0.000,FALSE,-13.792,-7.678,0.000,0.000,0.000,2.750,0.000,0.000,12.500,15.500,11.500,
2350,Tele Enable,0.270,0.684,0.000,0.000,FALSE,-16.304,-9.024,0.000,0.000,0.000,0.000,0.000,0.000,12.250,15.250,11.550,
2400,Tele Enable,0.270,0.684,0.000,0.000,FALSE,-20.482,-11.062,0.000,0.000,0.000,0.000,0.000,0.000,12.250,15.250,11.550,
2450,Tele Enable,0.254,0.684,0.000,0.000,FALSE,-23.392,-12.369,0.000,0.000,0.000,0.000,0.000,0.000,11.750,14.875,11.600,
2500,Tele Enable,0.188,0.684,0.000,0.000,FALSE,-27.776,-14.240,0.000,0.000,0.000,0.000,0.000,0.000,10.750,13.625,11.600,
2550,Tele Enable,0.027,0.684,0.000,0.000,FALSE,-30.903,-15.458,0.000,0.000,0.000,0.000,0.000,0.000,9.750,12.625,11.650,
2600,Tele Enable,0.000,0.684,0.000,0.000,FALSE,-35.645,-16.752,0.000,0.000,0.000,0.000,0.000,0.000,8.375,11.125,11.650,
2650,Tele Enable,-0.008,0.525,0.000,0.000,FALSE,-38.837,-17.342,0.000,0.000,0.000,0.000,0.000,0.000,8.375,11.125,11.950,
2700,Tele Enable,-0.052,0.270,0.000,0.000,FALSE,-43.105,-17.945,0.000,0.000,0.000,0.000,0.000,0.000,2.750,3.875,12.100,
2750,Tele Enable,-0.131,0.085,0.000,0.000,FALSE,-46.733,-18.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.875,12.200,
2800,Tele Enable,-0.278,0.000,0.000,0.000,FALSE,-48.437,-18.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
2850,Tele Enable,-0.321,0.000,0.000,0.000,FALSE,-50.168,-18.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.700,
2900,Tele Enable,-0.216,-0.008,0.000,0.000,FALSE,-50.924,-18.060,4.625,0.000,14.375,4.750,3.500,0.000,0.000,0.000,11.400,
2950,Tele Enable,-0.131,-0.042,0.000,0.000,FALSE,-51.424,-17.406,3.375,0.000,14.750,3.625,2.750,0.000,0.000,0.000,11.750,
3000,Tele Enable,-0.094,-0.161,0.000,0.000,FALSE,-51.411,-17.188,3.375,0.000,8.500,0.000,0.000,0.000,0.000,0.000,11.950,
3050,Tele Enable,-0.131,-0.238,0.000,0.000,FALSE,-51.129,-17.137,0.000,0.000,6.250,0.000,0.000,0.000,0.000,0.000,11.950,
3100,Tele Enable,-0.161,-0.238,0.000,0.000,FALSE,-50.975,-17.124,0.000,0.000,6.250,0.000,0.000,0.000,1.500,2.000,11.950,
3150,Tele Enable,-0.161,-0.238,0.000,0.000,FALSE,-50.680,-16.996,0.000,0.000,5.125,0.000,0.000,0.000,1.625,2.000,11.850,
3200,Tele Enable,-0.161,-0.238,0.000,0.000,FALSE,-50.373,-16.765,0.000,0.000,4.875,0.000,0.000,0.000,1.625,2.250,11.950,
3250,Tele Enable,-0.181,-0.238,0.000,0.000,FALSE,-50.142,-16.560,0.000,0.000,4.750,0.000,0.000,0.000,1.500,2.500,11.950,
3300,Tele Enable,-0.201,-0.238,0.000,0.000,FALSE,-49.732,-16.163,0.000,0.000,4.750,0.000,0.000,0.000,1.500,2.500,11.900,
3350,Tele Enable,-0.238,-0.238,0.000,0.000,FALSE,-49.437,-15.842,0.000,0.000,2.375,0.000,0.000,0.000,0.000,2.125,11.950,
3400,Tele Enable,-0.254,-0.254,0.000,0.000,FALSE,-48.899,-15.202,0.000,0.000,3.000,0.000,0.000,0.000,0.000,2.125,11.950,
3450,Tele Enable,-0.278,-0.321,0.000,0.000,FALSE,-48.476,-14.676,1.750,0.000,3.375,0.000,0.000,0.000,1.500,2.250,11.850,
3500,Tele Enable,-0.321,-0.340,0.000,0.000,FALSE,-47.630,-13.715,1.750,0.000,3.375,3.000,0.000,0.000,1.500,4.750,11.750,
3550,Tele Enable,-0.321,-0.368,0.000,0.000,FALSE,-46.886,-12.907,2.875,0.000,2.875,3.000,2.375,0.000,3.000,4.750,11.750,
3600,Tele Enable,-0.340,-0.368,0.000,0.000,FALSE,-45.528,-11.484,2.875,0.000,0.000,3.250,2.625,0.000,4.000,5.875,11.700,
3650,Tele Enable,-0.340,-0.368,0.000,0.000,FALSE,-44.477,-10.421,2.750,0.000,0.000,3.000,2.500,0.000,3.250,5.000,11.750,
3700,Tele Enable,-0.340,-0.368,0.000,0.000,FALSE,-42.734,-8.588,2.750,0.000,0.000,3.000,2.500,0.000,2.750,4.375,11.800,
3750,Tele Enable,-0.340,-0.368,0.000,0.000,FALSE,-41.477,-7.319,2.250,0.000,0.000,2.875,2.375,0.000,2.750,4.375,11.800,
3800,Tele Enable,-0.340,-0.368,0.000,0.000,FALSE,-39.516,-5.281,1.875,0.000,0.000,0.000,0.000,0.000,2.625,3.875,11.800,
3850,Tele Enable,-0.340,-0.368,0.000,0.000,FALSE,-37.530,-3.230,1.625,0.000,2.000,0.000,0.000,0.000,2.250,3.625,11.850,
3900,Tele Enable,-0.340,-0.368,0.000,0.000,FALSE,-36.158,-1.820,1.625,0.000,2.000,0.000,0.000,0.000,2.125,3.500,11.850,
3950,Tele Enable,-0.278,-0.368,0.000,0.000,FALSE,-34.043,0.308,1.375,0.000,2.125,0.000,0.000,0.000,2.000,3.250,11.900,
4000,Tele Enable,-0.238,-0.368,0.000,0.000,FALSE,-32.608,1.653,0.000,0.000,2.250,0.000,0.000,0.000,2.000,3.250,11.950,
4050,Tele Enable,-0.238,-0.368,0.000,0.000,FALSE,-30.403,3.525,0.000,0.000,2.250,0.000,0.000,0.000,2.000,3.375,11.900,
4100,Tele Enable,-0.161,-0.368,0.000,0.000,FALSE,-28.968,4.666,0.000,0.000,2.125,0.000,0.000,0.000,1.875,3.000,11.950,
4150,Tele Enable,-0.120,-0.368,0.000,0.000,FALSE,-26.737,6.293,0.000,0.000,2.125,0.000,0.000,0.000,2.000,3.000,11.950,
4200,Tele Enable,-0.052,-0.295,0.000,0.000,FALSE,-25.353,7.229,0.000,0.000,2.125,0.000,0.000,0.000,1.875,3.000,11.950,
4250,Tele Enable,-0.008,-0.216,0.000,0.000,FALSE,-23.353,8.344,0.000,0.000,4.000,0.000,0.000,0.000,1.875,3.000,11.800,
4300,Tele Enable,-0.008,-0.149,0.000,0.000,FALSE,-22.123,8.857,0.000,0.000,14.750,0.000,0.000,0.000,0.000,0.000,11.700,
4350,Tele Enable,-0.008,-0.149,0.000,0.000,FALSE,-20.546,9.472,0.000,0.000,14.750,0.000,0.000,0.000,0.000,0.000,11.750,
4400,Tele Enable,-0.042,-0.149,0.000,0.000,FALSE,-19.624,9.882,0.000,0.000,19.625,0.000,0.000,0.000,0.000,0.000,11.650,
4450,Tele Enable,-0.080,-0.201,0.000,0.000,FALSE,-18.483,10.331,0.000,0.000,19.625,0.000,0.000,0.000,0.000,0.000,11.700,
4500,Tele Enable,-0.149,-0.201,0.000,0.000,FALSE,-17.816,10.639,0.000,0.000,19.625,0.000,0.000,0.000,0.000,0.000,11.650,
4550,Tele Enable,-0.216,-0.201,0.000,0.000,FALSE,-17.099,11.087,0.000,0.000,16.375,0.000,0.000,0.000,0.000,0.000,11.800,
4600,Tele Enable,-0.216,-0.201,0.000,0.000,FALSE,-16.586,11.677,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,11.900,
4650,Tele Enable,-0.094,-0.149,0.000,0.000,FALSE,-16.304,12.074,0.000,0.000,7.875,0.000,0.000,0.000,0.000,0.000,11.850,
4700,Tele Enable,-0.080,-0.149,0.000,0.000,FALSE,-15.842,12.561,0.000,0.000,7.875,0.000,0.000,0.000,0.000,0.000,11.900,
