Sat.Feb.18.2017.1.56.PM
Match Number: 0 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,	pincherState,	armState,
int,	string,	boolean,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	string,	string,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,	PCM Solenoid Volt,	Pincher State,	Arm State,
0,Tele Enable,FALSE,0.000,0.000,141.350,0.000,FALSE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,21.469,11.750,11.375,Open,Down,
50,Tele Enable,FALSE,0.000,0.000,141.320,-0.743,TRUE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,10.125,11.900,11.469,Open,Down,
100,Tele Enable,FALSE,0.000,0.000,141.360,1.483,TRUE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,9.281,11.900,11.531,Open,Down,
150,Tele Enable,FALSE,0.000,0.000,141.250,-1.493,TRUE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,9.219,11.900,11.531,Open,Down,
200,Tele Enable,FALSE,0.000,0.000,141.610,-0.692,TRUE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,9.031,11.950,11.531,Open,Down,
250,Tele Enable,FALSE,0.000,0.000,141.230,2.726,TRUE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,9.031,11.900,11.531,Open,Down,
300,Tele Enable,FALSE,0.000,0.000,141.190,-1.495,TRUE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,9.219,11.900,11.469,Open,Down,
350,Tele Enable,FALSE,0.000,0.000,141.670,-0.151,TRUE,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,9.438,11.850,11.469,Open,Down,
