Fri.Apr.07.2017.10.20.AM
Match: 0,Battery: -3
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,TRUE,-0.026,-0.023,0.000,0.000,Close,Down,-0.740,0.000,FALSE,0.000,0.000,FALSE,4.627,142.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,0.000,12.850,
100, 101,Auto Enable,TRUE,-0.130,-0.125,0.000,0.000,Close,Down,-0.750,-0.003,FALSE,0.000,0.000,FALSE,4.637,142.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,12.850,
200, 203,Auto Enable,TRUE,-0.315,-0.307,0.000,0.000,Close,Down,-0.740,-0.048,FALSE,0.013,0.077,FALSE,4.627,142.504,0.000,0.000,0.000,0.000,0.000,2.750,1.500,0.000,12.650,0.000,12.700,
300, 303,Auto Enable,TRUE,-0.494,-0.480,0.000,0.000,Close,Down,-0.840,-0.407,TRUE,0.667,0.692,FALSE,4.757,141.871,8.375,0.000,0.000,7.125,6.875,9.125,3.750,7.125,11.650,0.000,11.550,
400, 403,Auto Enable,TRUE,-0.483,-0.470,0.000,0.000,Close,Down,-0.730,-0.316,TRUE,3.038,3.127,FALSE,4.607,139.476,12.250,0.000,2.125,11.500,10.125,11.625,4.875,12.250,11.800,0.000,11.700,
500, 504,Auto Enable,TRUE,-0.468,-0.447,0.000,0.000,Close,Down,-0.740,0.049,TRUE,6.537,6.678,FALSE,4.647,135.964,7.000,0.000,0.000,7.000,6.500,7.250,3.875,7.000,12.150,0.000,12.000,
600, 605,Auto Enable,TRUE,-0.451,-0.426,0.000,0.000,Close,Down,-0.710,-0.089,TRUE,10.715,10.805,FALSE,4.607,131.826,4.250,0.000,0.000,4.875,4.125,4.625,2.250,4.500,12.300,0.000,12.150,
700, 706,Auto Enable,TRUE,-0.433,-0.405,0.000,0.000,Close,Down,-0.540,0.036,TRUE,15.227,15.227,FALSE,4.487,127.376,3.250,0.000,0.000,3.875,3.375,2.875,1.500,3.750,12.450,0.000,12.300,
