Fri.Apr.07.2017.11.08.AM
Match: 52,Battery: 2015-1
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,TRUE,-0.058,-0.054,0.000,0.000,Close,Down,-0.790,0.000,FALSE,0.013,0.000,FALSE,19.260,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.100,0.000,13.050,
100, 102,Auto Enable,TRUE,-0.194,-0.188,0.000,0.000,Close,Down,-0.790,-0.004,FALSE,0.013,0.000,FALSE,19.260,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.100,0.000,13.000,
200, 203,Auto Enable,TRUE,-0.361,-0.351,0.000,0.000,Close,Down,-0.910,-0.381,TRUE,0.167,0.295,FALSE,19.270,159.170,0.000,0.000,0.000,3.625,2.500,3.625,2.375,3.875,12.650,0.000,12.450,
300, 304,Auto Enable,TRUE,-0.491,-0.463,0.000,0.000,Close,Down,-1.400,-0.433,TRUE,1.577,2.038,TRUE,20.830,116.772,10.125,0.000,0.000,11.000,9.125,11.000,7.125,10.875,11.750,0.000,11.700,
400, 406,Auto Enable,TRUE,-0.480,-0.430,0.000,0.000,Close,Down,-1.810,-0.290,TRUE,4.396,5.294,FALSE,21.730,112.932,12.750,0.000,0.000,9.125,8.000,7.875,5.000,8.750,12.100,0.000,12.000,
500, 506,Auto Enable,TRUE,-0.464,-0.393,0.000,0.000,Close,Down,-1.930,-0.160,TRUE,8.331,9.254,FALSE,22.010,109.341,7.000,0.000,0.000,6.000,6.000,3.750,2.500,6.125,12.450,0.000,12.300,
600, 606,Auto Enable,TRUE,-0.447,-0.368,0.000,0.000,Close,Down,-1.530,-0.003,TRUE,12.830,13.292,FALSE,21.690,105.556,4.500,0.000,0.000,5.125,4.250,2.750,2.000,3.625,12.500,0.000,12.450,
700, 707,Auto Enable,TRUE,-0.429,-0.365,0.000,0.000,Close,Down,-0.650,0.169,TRUE,17.342,17.265,FALSE,20.890,101.609,2.875,0.000,0.000,4.000,3.000,2.000,1.500,3.000,12.600,0.000,12.500,
