Fri.Apr.07.2017.11.49.AM
Match: 0,Battery: 
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,17.120,0.000,FALSE,0.000,0.000,FALSE,4.667,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,10.469,12.300,
100, 101,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,17.260,0.000,TRUE,0.000,0.000,FALSE,4.637,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,8.438,12.350,
200, 203,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,17.320,0.329,TRUE,0.000,0.000,FALSE,4.617,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,8.156,12.350,
300, 306,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,17.240,-0.276,TRUE,0.000,0.000,FALSE,4.697,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,8.188,12.350,
400, 407,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,17.300,0.004,TRUE,0.000,0.000,FALSE,4.657,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,8.250,12.300,
500, 507,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,17.230,-0.309,TRUE,0.000,0.000,FALSE,4.607,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.900,8.312,12.350,
600, 609,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,17.290,0.000,TRUE,0.000,0.000,FALSE,4.637,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,8.312,12.300,
700, 709,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,17.220,-0.283,TRUE,0.000,0.000,FALSE,4.617,159.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,8.312,12.300,
