Fri.Apr.07.2017.2.11.PM
Match: 0,Battery: 2012-2
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Tele Enable,FALSE,0.000,0.000,0.000,0.000,Open,Down,-0.100,0.000,FALSE,0.000,0.000,FALSE,0.110,-24.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,9.906,12.100,
100, 102,Tele Enable,FALSE,0.000,0.000,0.000,0.000,Open,Down,-0.090,0.148,TRUE,0.000,0.000,FALSE,0.030,-24.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,8.094,12.150,
200, 203,Tele Enable,FALSE,0.000,0.000,0.000,0.000,Open,Down,-0.050,0.210,TRUE,0.000,0.000,FALSE,0.120,-24.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,7.906,12.150,
300, 305,Tele Enable,FALSE,0.000,0.000,0.000,0.000,Open,Down,-0.110,-0.049,TRUE,0.000,0.000,FALSE,0.030,-24.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,7.906,12.150,
400, 407,Tele Enable,FALSE,0.000,0.000,0.000,0.000,Open,Down,-0.160,-0.104,TRUE,0.000,0.000,FALSE,0.130,-24.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,7.969,12.150,
500, 508,Tele Enable,FALSE,0.000,0.000,0.000,0.000,Open,Down,-0.150,-0.063,TRUE,0.000,0.000,FALSE,0.050,-24.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,7.969,12.100,
600, 609,Tele Enable,FALSE,0.000,0.000,0.000,0.000,Open,Down,-0.110,0.049,TRUE,0.000,0.000,FALSE,0.140,-24.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,8.000,12.100,
700, 710,Tele Enable,FALSE,0.000,0.000,0.000,0.000,Open,Down,-0.060,0.222,TRUE,0.000,0.000,FALSE,0.130,-24.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,8.062,12.100,
