Fri.Apr.07.2017.2.52.PM
Match: 71,Battery: 20-something...
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,TRUE,0.000,0.000,0.000,0.000,Close,Down,4.120,0.000,FALSE,0.000,0.000,TRUE,2.878,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.050,
100, 101,Auto Enable,TRUE,0.000,0.000,0.000,0.000,Close,Down,4.120,0.009,FALSE,0.000,0.000,TRUE,2.878,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.050,
200, 202,Auto Enable,TRUE,-0.025,0.020,0.000,0.000,Close,Down,4.120,0.000,FALSE,0.000,0.000,TRUE,2.878,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.050,
300, 302,Auto Enable,TRUE,-0.177,-0.125,0.000,0.000,Close,Down,4.120,0.000,FALSE,0.000,0.000,TRUE,2.878,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.000,
400, 402,Auto Enable,TRUE,-0.360,-0.274,0.000,0.000,Close,Down,4.210,0.019,FALSE,0.244,0.128,TRUE,2.878,67.086,5.125,0.000,0.000,4.250,3.500,0.000,0.000,2.000,12.600,0.000,12.400,
500, 503,Auto Enable,TRUE,-0.360,-0.274,0.000,0.000,Close,Down,4.790,0.021,TRUE,1.410,0.820,TRUE,2.878,71.949,6.625,0.000,0.000,5.000,3.750,2.125,1.500,2.250,12.700,0.000,12.600,
600, 604,Auto Enable,TRUE,-0.360,-0.281,0.000,0.000,Close,Down,5.990,-0.006,TRUE,3.140,1.897,TRUE,2.567,71.949,4.375,0.000,0.000,4.250,3.500,2.125,1.625,2.375,12.650,0.000,12.550,
700, 706,Auto Enable,TRUE,-0.357,-0.360,0.000,0.000,Close,Down,7.050,-0.162,TRUE,5.332,3.525,TRUE,1.557,62.684,3.625,0.000,0.000,4.000,3.375,4.125,2.625,2.500,12.550,0.000,12.450,
