Fri.Apr.07.2017.6.02.PM
Match: 0,Battery: 
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,FALSE,-0.058,-0.058,0.000,0.000,Close,Down,-0.020,0.000,FALSE,0.000,0.000,FALSE,-3.574,-19.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,13.156,11.650,
100, 102,Auto Enable,FALSE,-0.161,-0.161,0.000,0.000,Close,Down,-0.070,-0.034,TRUE,0.000,0.000,FALSE,-3.574,-19.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,12.719,11.600,
200, 202,Auto Enable,FALSE,-0.361,-0.360,0.000,0.000,Close,Down,0.050,0.018,TRUE,0.859,0.679,FALSE,-3.374,-19.671,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,12.500,11.450,
300, 305,Auto Enable,FALSE,-0.475,-0.475,0.000,0.000,Close,Down,0.150,0.071,TRUE,4.896,4.768,FALSE,-3.354,-23.291,2.500,0.000,0.000,3.750,2.500,3.000,2.250,4.375,12.250,12.500,11.250,
400, 405,Auto Enable,FALSE,-0.449,-0.449,0.000,0.000,Close,Down,0.110,0.188,TRUE,11.215,11.228,FALSE,-3.474,-18.105,1.625,0.000,0.000,0.000,0.000,0.000,0.000,3.250,12.350,12.969,11.450,
500, 505,Auto Enable,FALSE,-0.424,-0.424,0.000,0.000,Close,Down,0.010,0.103,TRUE,17.573,17.650,FALSE,-3.514,-11.719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.400,12.750,11.500,
600, 605,Auto Enable,FALSE,-0.401,-0.401,0.000,0.000,Close,Down,-0.060,-0.013,TRUE,23.482,23.635,FALSE,-3.474,-5.772,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.400,12.719,11.450,
700, 706,Auto Enable,FALSE,-0.381,-0.381,0.000,0.000,Close,Down,-0.090,0.059,TRUE,28.929,29.083,FALSE,-3.474,-5.772,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.400,12.719,11.400,
