Fri.Mar.10.2017.8.22.PM
Match: 0,Battery: 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,-0.030,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.800,11.375,11.150,
50,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,0.020,-0.230,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.350,8.188,10.950,
100,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,0.150,-0.220,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.350,7.906,10.700,
150,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,0.150,-0.220,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.450,8.344,10.750,
200,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,0.060,-0.019,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.350,8.188,10.700,
250,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,0.070,0.420,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,8.156,10.500,
300,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,-0.070,-0.395,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.156,10.550,
350,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,0.060,0.011,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.950,8.094,10.350,
400,Tele Enable,FALSE,0.000,0.006,-0.008,0.000,Open,Down,0.100,0.280,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.050,8.312,10.400,
