Fri.Mar.24.2017.8.41.PM
Match: 0,Battery: 
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Tele Enable,FALSE,0.000,-0.025,-0.005,0.000,Open,Down,-0.090,0.000,FALSE,0.000,0.000,FALSE,17.304,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,9.531,12.100,
100, 100,Tele Enable,FALSE,0.000,-0.025,-0.005,0.000,Open,Down,-0.030,0.069,TRUE,0.000,0.000,FALSE,17.314,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,8.000,12.150,
200, 201,Tele Enable,FALSE,0.000,-0.025,-0.005,0.000,Open,Down,-0.070,0.098,TRUE,0.000,0.000,FALSE,17.374,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,7.906,12.150,
300, 302,Tele Enable,FALSE,0.000,-0.025,-0.005,0.000,Open,Down,0.000,0.047,TRUE,0.000,0.000,FALSE,17.284,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,7.969,12.150,
400, 403,Tele Enable,FALSE,0.000,-0.025,-0.005,0.000,Open,Down,-0.090,0.067,TRUE,0.000,0.000,FALSE,17.374,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,8.000,12.100,
500, 503,Tele Enable,FALSE,0.000,-0.025,-0.005,0.000,Open,Down,-0.080,-0.082,TRUE,0.000,0.000,FALSE,17.324,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,8.062,12.100,
600, 603,Tele Enable,FALSE,0.000,-0.025,-0.005,0.000,Open,Down,0.000,-0.023,TRUE,0.000,0.000,FALSE,17.354,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,8.094,12.100,
700, 703,Tele Enable,FALSE,0.000,-0.025,-0.005,0.000,Open,Down,-0.020,-0.111,TRUE,0.000,0.000,FALSE,17.304,67.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,8.094,12.100,
