Sat.Apr.08.2017.11.02.AM
Match: 111,Battery: 2015-1
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,TRUE,-0.058,-0.056,0.000,0.000,Close,Down,-0.550,0.000,FALSE,0.051,0.000,FALSE,20.626,128.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.200,0.000,13.050,
100, 102,Auto Enable,TRUE,-0.194,-0.191,0.000,0.000,Close,Down,-0.550,0.003,FALSE,0.051,0.000,TRUE,21.101,142.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.100,0.000,13.000,
200, 202,Auto Enable,TRUE,-0.411,-0.406,0.000,0.000,Close,Down,-0.510,-0.561,TRUE,0.269,0.090,FALSE,21.101,142.507,0.000,0.000,0.000,6.375,5.875,5.625,3.750,7.125,12.150,0.000,12.150,
300, 303,Auto Enable,TRUE,-0.490,-0.479,0.000,0.000,Close,Down,-0.750,-0.440,TRUE,1.961,1.679,TRUE,21.101,128.588,12.250,0.000,0.000,12.000,11.750,11.625,7.000,13.375,11.950,0.000,11.750,
400, 405,Auto Enable,TRUE,-0.475,-0.462,0.000,0.000,Close,Down,-0.770,-0.238,TRUE,4.935,4.819,FALSE,21.321,124.713,8.375,0.000,0.000,8.625,7.250,8.500,5.625,9.375,12.150,0.000,12.050,
500, 506,Auto Enable,TRUE,-0.458,-0.439,0.000,0.000,Close,Down,-0.920,-0.184,TRUE,9.062,8.985,FALSE,21.431,121.124,6.000,0.000,0.000,5.625,4.625,4.500,3.375,6.875,12.400,0.000,12.300,
600, 609,Auto Enable,TRUE,-0.441,-0.415,0.000,0.000,Close,Down,-0.810,0.325,TRUE,14.368,13.330,FALSE,21.461,117.246,3.875,0.000,0.000,4.750,4.125,3.625,2.750,4.750,12.500,0.000,12.400,
700, 711,Auto Enable,TRUE,-0.422,-0.398,0.000,0.000,Close,Down,-0.600,0.083,TRUE,18.137,16.983,FALSE,21.281,113.291,2.750,0.000,0.000,3.625,2.875,2.375,1.875,4.000,12.600,0.000,12.500,
