Sat.Apr.08.2017.12.15.PM
Match: 111,Battery: 
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Tele Enable,FALSE,0.000,-0.002,-0.005,0.000,Open,Down,-0.070,0.000,FALSE,0.000,0.000,FALSE,-17.749,62.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,9.344,12.000,
100, 101,Tele Enable,FALSE,0.000,-0.002,-0.005,0.000,Open,Down,-0.040,0.297,TRUE,0.000,0.000,FALSE,-17.649,62.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,7.906,12.050,
200, 203,Tele Enable,FALSE,0.000,-0.002,-0.005,0.000,Open,Down,-0.060,0.019,TRUE,0.000,0.000,FALSE,-17.739,62.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,7.875,12.050,
300, 304,Tele Enable,FALSE,0.000,-0.002,-0.005,0.000,Open,Down,-0.070,0.345,TRUE,0.000,0.000,FALSE,-17.639,62.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,7.906,12.000,
400, 405,Tele Enable,FALSE,0.000,-0.002,-0.005,0.000,Open,Down,-0.130,-0.181,TRUE,0.000,0.000,FALSE,-17.609,62.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.000,12.000,
500, 505,Tele Enable,FALSE,0.000,-0.002,-0.005,0.000,Open,Down,-0.180,-0.157,TRUE,0.000,0.000,FALSE,-17.689,62.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,7.969,12.000,
600, 606,Tele Enable,FALSE,0.000,-0.002,-0.005,0.000,Open,Down,-0.190,-0.279,TRUE,0.000,0.000,FALSE,-17.619,62.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.062,12.000,
700, 709,Tele Enable,FALSE,0.000,-0.002,-0.005,0.000,Open,Down,-0.180,-0.251,TRUE,0.000,0.000,FALSE,-17.639,62.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.062,12.000,
