Sat.Apr.08.2017.8.52.AM
Match: 97,Battery: 
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,3.440,0.000,FALSE,0.000,0.000,FALSE,15.680,18.428,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,12.900,
100, 105,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,3.440,0.002,FALSE,0.000,0.000,FALSE,15.660,18.428,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,12.900,
200, 206,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,3.440,0.017,TRUE,0.000,0.000,FALSE,15.660,18.428,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,12.900,
300, 308,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,3.430,0.042,TRUE,0.000,0.000,FALSE,15.640,18.428,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,0.000,12.900,
400, 409,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,3.700,1.231,TRUE,0.000,0.013,FALSE,15.400,18.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,0.000,12.900,
500, 510,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,3.400,-0.431,TRUE,0.000,0.026,FALSE,15.480,18.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,0.000,12.900,
600, 611,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,3.470,0.301,TRUE,0.013,0.038,FALSE,15.420,18.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,0.000,12.900,
700, 712,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,3.660,-0.098,TRUE,0.013,0.038,FALSE,15.390,18.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,12.900,
