Sat.Apr.08.2017.9.43.AM
Match: 0,Battery: -4
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,FALSE,-0.026,-0.026,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.013,FALSE,0.208,-14.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.450,13.188,11.650,
100, 101,Auto Enable,FALSE,-0.130,-0.130,0.000,0.000,Close,Down,-0.090,0.068,TRUE,0.000,0.013,FALSE,0.158,-14.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.450,12.469,11.600,
200, 203,Auto Enable,FALSE,-0.315,-0.315,0.000,0.000,Close,Down,-0.320,0.045,TRUE,0.064,0.090,FALSE,0.088,-14.187,0.000,0.000,0.000,0.000,2.875,2.750,2.250,0.000,12.100,12.031,11.150,
300, 304,Auto Enable,FALSE,-0.492,-0.490,0.000,0.000,Close,Down,-0.530,-0.208,TRUE,0.833,0.884,FALSE,0.348,-15.039,2.250,0.000,0.000,7.500,6.875,7.875,6.250,8.625,11.150,11.188,10.150,
400, 404,Auto Enable,FALSE,-0.483,-0.481,0.000,0.000,Close,Down,-0.440,-0.393,TRUE,2.935,3.166,FALSE,0.348,-15.039,7.125,0.000,0.000,10.875,8.250,9.375,7.750,11.125,11.150,12.469,10.350,
500, 504,Auto Enable,FALSE,-0.470,-0.464,0.000,0.000,Close,Down,-0.770,0.205,TRUE,6.191,6.601,FALSE,0.558,-17.231,6.000,0.000,0.000,6.875,5.375,6.250,4.750,8.000,11.450,12.719,10.600,
600, 605,Auto Enable,FALSE,-0.454,-0.443,0.000,0.000,Close,Down,-0.840,-0.533,TRUE,10.075,10.562,FALSE,0.678,-20.576,4.750,0.000,0.000,6.000,4.500,3.375,2.875,6.500,11.750,13.000,10.650,
700, 706,Auto Enable,FALSE,-0.437,-0.414,0.000,0.000,Close,Down,-0.970,0.010,TRUE,14.304,14.830,FALSE,0.888,-23.631,3.125,0.000,0.000,4.375,3.125,3.000,2.625,4.750,11.800,12.719,10.900,
