Sat.Mar.11.2017.10.51.AM
Match: 5,Battery: 2017
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,0.090,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.050,8.312,11.350,
50,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,0.050,-0.013,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,8.406,11.400,
100,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,-0.090,0.031,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,8.531,11.550,
150,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,-0.080,-0.026,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,8.344,11.550,
200,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,-0.010,-0.282,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,8.344,11.550,
250,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,0.070,0.292,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,8.312,11.500,
300,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,0.000,-0.200,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,8.500,11.550,
350,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,-0.080,0.121,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,8.438,11.550,
400,Tele Enable,FALSE,-0.002,-0.002,-0.006,0.000,Open,Down,-0.080,-0.082,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,8.500,11.450,
