Sat.Mar.11.2017.11.16.AM
Match: 10,Battery: 1
2015
2017\
2017
1
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,TRUE,-0.040,-0.040,0.000,0.000,Close,Up,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,0.000,12.650,
50,Auto Enable,TRUE,-0.130,-0.130,0.000,0.000,Close,Up,0.000,0.047,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,0.000,12.550,
100,Auto Enable,TRUE,-0.231,-0.231,0.000,0.000,Close,Up,0.000,-0.001,TRUE,0.000,0.013,0.000,0.000,0.000,2.375,0.000,0.000,0.000,2.250,12.450,0.000,12.350,
150,Auto Enable,TRUE,-0.411,-0.410,0.000,0.000,Close,Up,0.000,-0.123,TRUE,0.244,0.244,0.000,0.000,0.000,6.250,3.375,3.875,2.625,2.250,11.650,0.000,11.650,
200,Auto Enable,TRUE,-0.491,-0.490,0.000,0.000,Close,Up,-0.200,-0.253,TRUE,1.205,1.307,8.375,0.000,0.000,9.625,7.000,8.875,4.750,14.375,11.150,0.000,10.950,
250,Auto Enable,TRUE,-0.483,-0.480,0.000,0.000,Close,Up,-0.470,-0.175,TRUE,3.679,4.127,7.750,0.000,0.000,7.750,5.125,6.750,3.875,13.250,11.400,0.000,11.300,
300,Auto Enable,TRUE,-0.472,-0.463,0.000,0.000,Close,Up,-1.150,-0.019,TRUE,6.511,7.242,6.000,0.000,0.000,6.500,4.500,5.000,3.000,10.500,11.600,0.000,11.450,
350,Auto Enable,TRUE,-0.459,-0.448,0.000,0.000,Close,Up,-1.440,-0.028,TRUE,8.754,9.664,3.750,0.000,0.000,5.250,3.750,2.875,1.875,7.875,11.650,0.000,11.600,
400,Auto Enable,TRUE,-0.443,-0.411,0.000,0.000,Close,Up,-1.840,-0.031,TRUE,12.882,13.881,2.250,0.000,0.000,4.125,2.375,0.000,0.000,5.375,11.800,0.000,11.700,
