Sat.Mar.11.2017.12.08.PM
Match: 2,Battery: 1
2015
2017\
2017
2017?
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,TRUE,-0.177,-0.162,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,0.000,11.500,
50,Auto Enable,TRUE,-0.398,-0.375,0.000,0.000,Close,Down,0.000,0.003,TRUE,0.064,0.090,0.000,0.000,0.000,0.000,6.250,6.125,3.250,8.125,10.250,0.000,10.200,
100,Auto Enable,TRUE,-0.490,-0.440,0.000,0.000,Close,Down,-0.280,-0.184,TRUE,0.500,0.602,4.250,0.000,0.000,5.750,6.250,6.125,4.750,8.125,10.000,0.000,9.850,
150,Auto Enable,TRUE,-0.490,-0.456,0.000,0.000,Close,Down,-0.270,-0.065,TRUE,1.436,1.679,7.375,0.000,0.000,8.750,6.500,6.625,3.750,12.000,10.350,0.000,10.300,
200,Auto Enable,TRUE,-0.490,-0.413,0.000,0.000,Close,Down,-0.660,-0.173,TRUE,2.820,3.217,6.375,0.000,0.000,8.750,6.500,4.375,2.625,9.000,10.600,0.000,10.500,
250,Auto Enable,TRUE,-0.490,-0.393,0.000,0.000,Close,Down,-0.750,0.000,TRUE,4.563,4.986,5.250,0.000,0.000,7.500,5.125,4.375,2.625,6.625,10.800,0.000,10.700,
300,Auto Enable,TRUE,-0.490,-0.381,0.000,0.000,Close,Down,-0.720,-0.172,TRUE,6.575,6.883,5.250,0.000,0.000,6.750,4.500,3.000,1.875,4.750,10.900,0.000,10.750,
350,Auto Enable,TRUE,-0.490,-0.410,0.000,0.000,Close,Down,-0.420,0.113,TRUE,8.767,8.844,3.750,0.000,0.000,6.125,4.000,2.500,1.625,4.125,10.800,0.000,10.750,
400,Auto Enable,TRUE,-0.490,-0.387,0.000,0.000,Close,Down,0.010,-0.102,TRUE,12.792,12.497,3.500,0.000,0.000,5.125,3.250,2.375,0.000,4.500,10.800,0.000,10.700,
