Sat.Mar.11.2017.2.58.PM
Match: 15,Battery: something-1
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,TRUE,-0.123,-0.123,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.050,0.000,12.050,
50,Auto Enable,TRUE,-0.315,-0.314,0.000,0.000,Close,Down,0.000,-0.001,FALSE,0.000,0.013,0.000,0.000,0.000,2.625,0.000,2.125,0.000,3.000,11.350,0.000,11.150,
100,Auto Enable,TRUE,-0.490,-0.488,0.000,0.000,Close,Down,-0.240,-0.350,TRUE,0.231,0.397,0.000,0.000,0.000,10.375,8.500,8.625,6.875,3.000,10.450,0.000,10.250,
150,Auto Enable,TRUE,-0.490,-0.488,0.000,0.000,Close,Down,-0.470,-0.221,TRUE,1.500,1.961,8.250,0.000,0.000,9.750,6.500,6.375,4.875,13.375,10.750,0.000,10.700,
200,Auto Enable,TRUE,-0.490,-0.465,0.000,0.000,Close,Down,-1.190,-0.305,TRUE,4.179,4.986,6.250,0.000,0.000,8.750,4.875,4.625,3.625,11.125,11.050,0.000,11.000,
250,Auto Enable,TRUE,-0.490,-0.453,0.000,0.000,Close,Down,-1.630,-0.094,TRUE,7.101,8.165,4.500,0.000,0.000,6.375,4.500,3.750,3.000,6.750,11.200,0.000,11.100,
300,Auto Enable,TRUE,-0.490,-0.428,0.000,0.000,Close,Down,-1.970,0.004,TRUE,11.305,12.369,4.500,0.000,0.000,6.000,4.000,2.750,2.125,5.375,11.550,0.000,11.400,
350,Auto Enable,TRUE,-0.490,-0.410,0.000,0.000,Close,Down,-1.870,-0.044,TRUE,13.138,14.048,3.500,0.000,0.000,6.000,3.500,2.250,1.875,4.375,11.500,0.000,11.400,
400,Auto Enable,TRUE,-0.490,-0.403,0.000,0.000,Close,Down,-1.440,-0.081,TRUE,16.035,16.650,3.250,0.000,0.000,5.125,3.375,0.000,1.500,4.375,11.550,0.000,11.450,
