Sat.Mar.11.2017.6.00.PM
Match: 27,Battery: -3
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,TRUE,-0.066,-0.079,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.100,0.000,13.050,
50,Auto Enable,TRUE,-0.160,-0.177,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.100,0.000,13.000,
100,Auto Enable,TRUE,-0.290,-0.315,0.000,0.000,Close,Down,0.000,-0.024,FALSE,0.026,0.038,0.000,0.000,0.000,0.000,0.000,3.500,4.250,0.000,12.950,0.000,12.850,
150,Auto Enable,TRUE,-0.470,-0.490,0.000,0.000,Close,Down,-0.200,-0.335,TRUE,0.141,0.269,2.625,0.000,0.000,4.250,3.625,3.500,4.250,6.500,11.600,0.000,11.700,
200,Auto Enable,TRUE,-0.468,-0.490,0.000,0.000,Close,Down,-0.580,-0.662,TRUE,0.859,1.307,8.375,0.000,0.000,10.750,10.375,9.500,8.000,15.375,11.950,0.000,11.800,
250,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.710,-0.331,TRUE,3.204,4.255,7.000,0.000,0.000,9.500,6.875,5.875,5.125,10.750,12.000,0.000,11.950,
300,Auto Enable,TRUE,-0.490,-0.486,0.000,0.000,Close,Down,-2.320,-0.208,TRUE,6.909,8.421,6.250,0.000,0.000,7.500,4.750,4.125,3.625,10.750,12.250,0.000,12.100,
350,Auto Enable,TRUE,-0.490,-0.483,0.000,0.000,Close,Down,-2.820,0.031,TRUE,10.408,12.164,4.500,0.000,0.000,6.000,4.125,3.250,3.000,8.500,12.400,0.000,12.250,
400,Auto Enable,TRUE,-0.490,-0.452,0.000,0.000,Close,Down,-3.230,-0.157,TRUE,14.407,16.265,3.750,0.000,0.000,5.625,3.750,2.625,2.375,7.250,12.450,0.000,12.350,
