Sat.Mar.11.2017.9.16.AM
Match: 0,Battery: 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,FALSE,0.249,-0.490,0.000,0.000,Close,Down,-0.020,0.000,FALSE,-2.384,8.113,0.000,0.000,0.000,0.000,5.625,0.000,0.000,4.500,11.750,0.000,11.650,
50,Auto Enable,FALSE,0.000,-0.490,0.000,0.000,Close,Down,-0.020,0.090,TRUE,-3.961,12.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.625,11.250,0.000,11.150,
100,Auto Enable,FALSE,0.000,-0.490,0.000,0.000,Close,Down,-0.020,-0.114,TRUE,-4.281,17.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.750,11.700,0.000,11.650,
150,Auto Enable,FALSE,0.000,-0.490,0.000,0.000,Close,Down,0.020,0.163,TRUE,-4.281,22.738,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.750,11.550,0.000,11.550,
200,Auto Enable,FALSE,0.000,-0.490,0.000,0.000,Close,Down,0.000,-0.027,TRUE,-4.281,28.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.750,11.700,0.000,11.600,
250,Auto Enable,FALSE,0.000,-0.490,0.000,0.000,Close,Down,0.000,0.018,TRUE,-4.281,33.441,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.750,11.150,0.000,11.000,
300,Auto Enable,FALSE,0.000,-0.490,0.000,0.000,Close,Down,-0.010,-0.164,TRUE,-4.281,38.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.375,10.950,0.000,10.850,
350,Auto Enable,FALSE,0.009,-0.490,0.000,0.000,Close,Up,0.000,0.018,TRUE,-4.281,43.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.250,10.950,0.000,10.750,
400,Auto Enable,FALSE,0.009,-0.490,0.000,0.000,Close,Up,-0.010,-0.078,TRUE,-4.281,46.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.250,10.750,0.000,10.700,
