Sat.Mar.25.2017.5.42.PM
Match: 42,Battery: -3
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,TRUE,0.000,0.000,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,TRUE,3.189,77.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.100,
100, 101,Auto Enable,TRUE,0.000,0.000,0.000,0.000,Close,Down,0.000,-0.003,FALSE,0.000,0.000,TRUE,3.189,77.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.050,
200, 201,Auto Enable,TRUE,-0.031,0.026,0.000,0.000,Close,Down,0.000,-0.002,FALSE,0.000,0.000,TRUE,3.189,77.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.100,
300, 303,Auto Enable,TRUE,-0.177,-0.113,0.000,0.000,Close,Down,0.000,-0.001,FALSE,0.000,0.000,TRUE,3.189,77.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.100,
400, 404,Auto Enable,TRUE,-0.360,-0.249,0.000,0.000,Close,Down,0.000,-0.213,TRUE,0.205,0.103,TRUE,3.189,77.350,3.250,0.000,0.000,4.500,3.500,1.875,0.000,2.375,12.650,0.000,12.500,
500, 504,Auto Enable,TRUE,-0.360,-0.267,0.000,0.000,Close,Down,0.960,-0.238,TRUE,1.307,0.667,TRUE,3.111,71.949,5.375,0.000,0.000,6.000,3.875,0.000,0.000,2.375,12.700,0.000,12.600,
600, 605,Auto Enable,TRUE,-0.360,-0.242,0.000,0.000,Close,Down,1.810,-0.147,TRUE,3.115,1.807,TRUE,3.111,71.949,3.750,0.000,0.000,5.125,3.375,0.000,0.000,2.375,12.750,0.000,12.650,
700, 705,Auto Enable,TRUE,-0.360,-0.360,0.000,0.000,Close,Down,2.970,-0.060,TRUE,5.422,3.384,TRUE,1.323,77.350,3.000,0.000,0.000,4.500,2.875,0.000,0.000,2.125,12.800,0.000,12.700,
