Sat.Mar.25.2017.6.04.PM
Match: 45,Battery: 2015-1
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,TRUE,0.000,0.000,0.000,0.000,Close,Down,-0.140,0.000,FALSE,0.000,0.013,TRUE,2.956,77.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,12.719,11.850,
100, 104,Auto Enable,TRUE,0.000,0.000,0.000,0.000,Close,Down,0.070,-0.131,TRUE,0.000,0.013,TRUE,2.956,77.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,12.125,11.850,
200, 205,Auto Enable,TRUE,-0.022,0.022,0.000,0.000,Close,Down,-0.060,-0.067,TRUE,0.000,0.013,TRUE,2.956,83.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,12.125,11.900,
300, 305,Auto Enable,TRUE,-0.123,-0.076,0.000,0.000,Close,Down,-0.060,0.016,TRUE,0.000,0.013,TRUE,2.878,77.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,12.188,11.800,
400, 408,Auto Enable,TRUE,-0.360,-0.266,0.000,0.000,Close,Down,0.040,-0.016,TRUE,0.103,0.179,TRUE,3.033,83.384,2.875,0.000,0.000,4.375,3.750,2.375,1.625,2.750,12.200,11.531,11.350,
500, 509,Auto Enable,TRUE,-0.360,-0.286,0.000,0.000,Close,Down,0.590,-0.143,TRUE,1.397,0.872,TRUE,2.956,83.384,4.500,0.000,0.000,6.375,4.375,2.125,1.750,3.375,12.300,12.281,11.400,
600, 609,Auto Enable,TRUE,-0.360,-0.275,0.000,0.000,Close,Down,1.580,-0.002,TRUE,3.294,2.153,TRUE,2.645,83.384,3.500,0.000,0.000,5.125,3.500,0.000,0.000,0.000,12.350,12.281,11.550,
700, 711,Auto Enable,TRUE,-0.360,-0.279,0.000,0.000,Close,Down,2.520,-0.153,TRUE,5.678,3.832,TRUE,2.257,71.949,2.875,0.000,0.000,4.250,3.000,0.000,0.000,2.500,12.400,12.219,11.550,
