Thu.Apr.06.2017.1.11.PM
Match: 2,Battery: -3
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,0.020,0.000,FALSE,0.000,0.000,FALSE,11.752,-19.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,11.000,11.850,
100, 101,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,-0.020,0.095,TRUE,0.000,0.000,FALSE,11.732,-19.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.156,11.950,
200, 203,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,0.040,-0.048,TRUE,0.000,0.000,FALSE,11.762,-19.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.000,11.950,
300, 303,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,0.000,-0.048,TRUE,0.000,0.000,FALSE,11.762,-19.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.000,11.950,
400, 405,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,0.000,-0.050,TRUE,0.000,0.000,FALSE,11.752,-19.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.062,11.950,
500, 506,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,0.000,-0.096,TRUE,0.000,0.000,FALSE,11.682,-19.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.094,11.950,
600, 606,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,0.100,0.158,TRUE,0.000,0.000,FALSE,11.702,-19.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.094,11.950,
700, 711,Tele Enable,FALSE,0.000,0.000,-0.005,0.000,Open,Down,-0.020,0.106,TRUE,0.000,0.000,FALSE,11.772,-19.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,8.094,11.950,
