Thu.Apr.06.2017.1.41.PM
Match: 2,Battery: 2015-1
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-0.100,0.000,FALSE,0.000,1.192,TRUE,11.071,116.772,12.250,0.000,0.000,13.375,12.500,14.000,5.625,13.625,11.650,0.000,11.650,
100, 101,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-0.360,-0.150,TRUE,0.000,4.127,TRUE,11.071,116.772,8.000,0.000,0.000,9.000,8.250,9.125,5.000,11.125,11.900,0.000,11.800,
200, 202,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-0.850,-0.201,TRUE,0.000,7.960,FALSE,11.921,113.087,7.250,0.000,0.000,8.125,7.125,7.625,4.500,9.750,12.100,0.000,11.950,
300, 302,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.110,0.030,TRUE,0.000,12.689,TRUE,11.893,116.772,4.875,0.000,0.000,6.125,5.125,4.875,3.375,7.375,12.150,0.000,12.050,
400, 402,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.190,0.000,TRUE,0.000,17.624,TRUE,12.711,97.858,4.625,0.000,0.000,5.125,4.375,4.500,3.000,6.750,12.200,0.000,12.100,
500, 504,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.340,0.014,TRUE,0.000,22.751,TRUE,13.081,106.641,3.750,0.000,0.000,5.125,4.125,4.250,3.000,6.375,12.300,0.000,12.150,
600, 605,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.520,-0.134,TRUE,0.000,28.199,TRUE,13.964,90.170,3.625,0.000,0.000,4.875,4.125,3.625,2.625,5.875,12.250,0.000,12.150,
700, 705,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.680,0.225,TRUE,0.000,33.723,TRUE,14.622,83.384,3.375,0.000,0.000,4.750,3.750,3.375,2.500,5.625,12.300,0.000,12.200,
