Thu.Apr.06.2017.2.43.PM
Match: 0,Battery: 
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,FALSE,0.000,0.000,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,TRUE,1.712,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.800,0.000,12.700,
100, 100,Auto Enable,FALSE,0.000,0.000,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,TRUE,1.712,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,0.000,12.700,
200, 202,Auto Enable,FALSE,0.000,0.000,0.000,0.000,Close,Down,0.000,0.002,FALSE,0.000,0.000,TRUE,1.712,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.800,0.000,12.700,
300, 302,Auto Enable,FALSE,-0.079,-0.065,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,TRUE,1.712,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.750,0.000,12.700,
400, 405,Auto Enable,FALSE,-0.360,-0.333,0.000,0.000,Close,Down,-0.010,-0.015,FALSE,0.000,0.038,TRUE,1.712,71.949,0.000,0.000,0.000,3.375,3.750,2.500,1.625,0.000,12.550,0.000,12.400,
500, 507,Auto Enable,FALSE,-0.360,-0.312,0.000,0.000,Close,Down,0.010,-0.004,TRUE,0.000,0.859,TRUE,1.712,71.949,4.875,0.000,0.000,5.625,4.875,6.125,2.875,5.125,12.150,0.000,12.100,
600, 607,Auto Enable,FALSE,-0.360,-0.301,0.000,0.000,Close,Down,-0.040,0.001,TRUE,0.000,2.269,TRUE,1.634,67.086,3.750,0.000,0.000,4.250,3.875,2.750,1.500,4.000,12.300,0.000,12.200,
700, 708,Auto Enable,FALSE,-0.360,-0.285,0.000,0.000,Close,Down,0.350,-0.075,TRUE,0.000,3.948,TRUE,1.712,83.384,3.500,0.000,0.000,3.875,3.125,2.125,0.000,2.375,12.350,0.000,12.250,
